generation,real_W,syn_W,biased_W,gap_syn,gap_biased
0,0.030919630705868378,0.030919630705868378,0.030919630705868378,0.0,0.0
1,0.024292734711044307,0.030908811848749662,1.1758534637362388,0.0066160771377053555,1.1515607290251946
2,0.02501695614752745,0.03089796656710696,2.481259756019386,0.0058810104195795125,2.4562427998718586
3,0.031204147317328845,0.03088526323179127,3.8524808802547623,-0.00031888408553757547,3.8212767329374335
4,0.03335320300544147,0.030876222820008355,5.264078377265792,-0.002476980185433117,5.230725174260351
5,0.026604994832316393,0.0308669023992817,6.701042116619585,0.004261907566965307,6.6744371217872684
6,0.020499384738117722,0.030856848952357453,8.154479436579958,0.01035746421423973,8.13398005184184
7,0.02701884647682601,0.030847847008017293,9.619011679166992,0.0038290005311912845,9.591992832690165
8,0.026530337129580896,0.030839632580398856,11.091276192638114,0.0043092954508179605,11.064745855508534
9,0.021862433796323875,0.030831656627222464,12.56908727910771,0.008969222830898588,12.547224845311387
10,0.02798754387535151,0.030825875850857394,14.051004907997191,0.002838331975505884,14.02301736412184
11,0.02451962202305225,0.030818408968939316,15.536037036890288,0.006298786945887067,15.511517414867237
12,0.027184695670113355,0.030811694344697334,17.023466172756564,0.0036269986745839783,16.996281477086452
13,0.027463556935406808,0.030805275754898397,18.512776082358602,0.0033417188194915896,18.485312525423197
14,0.024525474727698955,0.03079768166474798,20.003586712371938,0.006272206937049024,19.97906123764424
15,0.020574539749414842,0.030790021754034558,21.495626004394293,0.010215482004619716,21.475051464644878
