dim,pn_ratio,collapse_mean,collapse_std
20,0.1,0.10349011501664689,0.03639407564274348
50,0.25,0.4125225255893092,0.045233169199116824
100,0.5,1.233434969817725,0.22960520420602476
150,0.75,3.8406133060476266,0.9940732153044968
180,0.9,12.038910796816491,1.363838498962789
195,0.975,19.80916465552946,2.826265393369857
200,1.0,24.34785228841241,4.548947967139139
205,1.025,20.67851384141995,4.4622935646326525
220,1.1,12.015141952687204,2.2260543933961694
250,1.25,4.627823819928178,0.32580723603235007
400,2.0,0.8527243424501055,0.25373163194532816
600,3.0,0.2604139392446508,0.09468892404758222
1000,5.0,0.07777309195412416,0.04938753239720823
2000,10.0,0.0,0.0
