dim,pn_ratio,collapse_mean,collapse_std
20,0.1,0.1034901150166467,0.036394075642743426
50,0.25,0.4125225255893092,0.04523316919911655
100,0.5,1.2334349698177263,0.22960520420602643
150,0.75,3.840613306047632,0.9940732153044906
180,0.9,12.038910796816321,1.3638384989628238
195,0.975,19.809164655530715,2.8262653933699697
200,1.0,24.347852288411485,4.548947967138118
205,1.025,20.678513841420557,4.462293564633968
220,1.1,12.015141952687214,2.226054393394926
250,1.25,4.6278238199288895,0.3258072360329822
400,2.0,0.8527243424504196,0.25373163194547543
600,3.0,0.26041393924464284,0.09468892404770395
1000,5.0,0.07777309195422047,0.049387532397084426
2000,10.0,0.0,0.0
