gen,mauve,delta,ppl_real,rep_rate
0,0.867704,0.132296,14.449043,0.058794
1,0.720232,0.279768,30.665942,0.13369
2,0.529239,0.470761,56.392802,0.173734
3,0.412843,0.587157,106.568397,0.182074
4,0.241968,0.758032,164.51474,0.199545
5,0.182368,0.817632,271.00181,0.204939
6,0.124827,0.875173,563.202255,0.187407
7,0.094347,0.905653,1091.835151,0.206615
8,0.074342,0.925658,1736.545668,0.212659
9,0.050009,0.949991,4643.466862,0.212216
10,0.038638,0.961362,4711.26566,0.203183
